IATA|ICAO|Name|LAT|LONG
XBH|QQQQ|Burgess Hill Simulator|50.951525|-0.155135
XCS|QQQA|Manchester Simulator|53.3920|-2.1831
XDH|QQQB|Gatwick EZY simcenter|51.134920,-0.175860
XWT|QQQC|Malpensa EZY simcenter|45.580920|8.718430
XOL|QQQE|L3 Crawley Simulator|51.147862|-0.145284
XOA|QQQF|CAE Crawley Simulator|51.134920|-0.175860
AMS|EHAM|Amsterdam|52.308601|4.76389
TLS|LFBO|Toulouse|43.629101|1.36382
LGW|EGKK|London Gatwick|51.148102|-0.190278
GVA|LSGG|Geneva|46.238098|6.10895
TFS|GCTS|Tenerife South|28.0445|-16.5725
TLV|LLBG|Tel Aviv|32.011398|34.8867
NTE|LFRS|Nantes|47.153198|-1.61073
AGP|LEMG|Malaga|36.6749|-4.49911
LYS|LFLL|Lyon|45.725556|5.081111
NCE|LFMN|Nice|43.658401|7.21587
CDG|LFPG|Paris Charles De Gaulle|49.012798|2.55
CTA|LICC|Catania|37.466801|15.0664
FCO|LIRF|Roma Fiumicino|41.800278|12.238889
TXL|EDDT|Berlin Tegel|52.5597|13.2877
LIL|LFQQ|Lille|50.563332|3.086886
FAO|LPFR|Faro|37.0144|-7.96591
PRG|LKPR|Prague|50.1008|14.26
RAK|GMMX|Marrakech|31.606899261499997|-8.03629970551
VCE|LIPZ|Venice|45.505299|12.3519
SVQ|LEZL|Sevilla|37.417999267578125|-5.8931097984313965
EDI|EGPH|Edinburgh|55.95000076293945|-3.372499942779541
BIO|LEBB|Bilbao|43.30110168457031|-2.9106099605560303
BDS|LIBR|Brindisi|40.6576|17.947001
CPH|EKCH|Copenhagen|55.617900848389|12.656000137329
ORY|LFPO|Paris Orly|48.7233333|2.3794444
MXP|LIMC|Milan Malpensa|45.6306|8.72811
LTN|EGGW|London Luton|51.874698638916016|-0.36833301186561584
BFS|EGAA|Belfast|54.6575012207|-6.2158298492399995
FUE|GCFV|Fuerteventura|28.452699661254883|-13.863800048828125
VLC|LEVC|Valencia|39.4893|-0.481625
LIS|LPPT|Lisbon|38.7813|-9.13592
ZRH|LSZH|Zurich|47.464699|8.54917
KTT|EFKT|Kittila|67.700996398926|24.846799850464
JER|EGJJ|Jersey|49.20790100097656|-2.195509910583496
MPL|LFMT|Montpellier|43.57619857788086|3.96301007270813
BIA|LFKB|Bastia|42.55270004272461|9.48373031616211
BIQ|LFBZ|Biarritz|43.4683333|-1.5311111
IBZ|LEIB|Ibiza|38.872898101800004|1.3731199502899998
FSC|LFKF|Figarie|41.5005989074707|9.097780227661133
MAH|LEMH|Menorca|39.86259841918945|4.218649864196777
BSL|LFSB|Basel/Mulhouse|47.59|7.5291667
AGA|GMAD|Agadir|30.325000762939453|-9.413069725036621
STR|EDDS|Stuttgart|48.689899444599995|9.22196006775
VIE|LOWW|Vienna|48.110298156738|16.569700241089
CGN|EDDK|Cologne|50.8658981323|7.1427397728
FRA|EDDF|Frankfurt am Main|50.033333|8.570556
ATH|LGAV|Athens|37.9364013672|23.9444999695
OPO|LPPR|Porto|41.2481002808|-8.68138980865
LUX|ELLX|Luxembourg|49.6233333|6.2044444
LEI|LEAM|Almeria|36.84389877319336|-2.3701000213623047
MAD|LEMD|Madrid|40.471926|-3.56264
SOF|LBSF|Sofia|42.696693420410156|23.411436080932617
INV|EGPE|Inverness|57.54249954223633|-4.047500133514404
ALC|LEAL|Alicante|38.28219985961914|-0.5581560134887695
ABZ|EGPD|Aberdeen|57.201900482177734|-2.197779893875122
MUC|EDDM|Munich|48.353802|11.7861
IOM|EGNS|Isle of Man|54.08330154418945|-4.623889923095703
BCN|LEBL|Barcelona|41.2971|2.07846
SUF|LICA|Lamezia Terme|38.905399|16.2423
SXF|EDDB|Berlin|52.380001|13.5225
MAN|EGCC|Manchester|53.35369873046875|-2.2749500274658203
BRI|LIBD|Bari|41.138901|16.760599
PMO|LICJ|Palermo|38.175999|13.091
KRK|EPKK|Krakow|50.077702|19.7848
STN|EGSS|London Stansted|51.8849983215|0.234999999404
OVD|LEAS|Asturias|43.5635986328125|-6.0346198081970215
ADB|LTBJ|Izmir|38.2924003601|27.156999588
MJV|LELC|Murcia|37.775001525878906|-0.8123890161514282
GLA|EGPF|Glasgow|55.8718986511|-4.43306016922
PSA|LIRP|Pisa|43.683899|10.3927
LIN|LIML|Milano Linate|45.445099|9.27674
ACE|GCRR|Lanzarote|28.945499|-13.6052
CHQ|LGSA|Chania|35.531700134277344|24.149700164794922
PMI|LEPA|Palma De Mallorca|39.551700592|2.73881006241
AYT|LTAI|Antalya|36.898701|30.800501
BLQ|LIPE|Bologna|44.5354|11.2887
PFO|LCPH|Paphos|34.71799850463867|32.48569869995117
ZTH|LGZA|Zakynthos|37.7509|20.8843
PVK|LGPZ|Preveza|38.925498962402344|20.765300750732422
BOD|LFBD|Bordeaux|44.828300476100004|-0.715556025505
SPC|GCLA|La Palma Island|28.626499|-17.7556
MLA|LMML|Valletta|35.857498|14.4775
DUS|EDDL|Dusseldorf|51.289501|6.76678
HEL|EFHK|Helsinki|60.317199707031|24.963300704956
SKG|LGTS|Thessaloniki|40.51969909667969|22.97089958190918
BUD|LHBP|Budapest|47.42976|19.261093
GOA|LIMJ|Genova|44.4133|8.8375
OLB|LIEO|Olbia|40.898701|9.51763
BRU|EBBR|Brussels|50.901401519800004|4.48443984985
HER|LGIR|Heraklion|35.3396987915|25.180299758900002
CAG|LIEE|Cagliari|39.251499|9.05428
